"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","score_differential","first_down_pass","incomplete_pass","interception","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1"
"468",1,0.645833333333333,0.242777777777778,0,0.0277777777777778,1,1,0.365384615384615,0,1,0,0,0,0,1,0,0,0
"469",1,0.458333333333333,0.231111111111111,0,0.0277777777777778,1,1,0.365384615384615,0,1,0,0,0,0,0,0,0,0
"470",1,0.395833333333333,0.2025,0,0.0277777777777778,1,1,0.365384615384615,0,1,0,1,0,0,0,0,0,0
"471",1,0.1875,0.188333333333333,0,0.0277777777777778,1,1,0.365384615384615,0,1,0,0,0,0,1,0,1,0
"472",1,0.1875,0.187222222222222,0,0.0277777777777778,1,0,0.365384615384615,0,1,0,1,0,0,1,0,1,0
"473",1,0.1875,0.186111111111111,0,0.0277777777777778,1,0,0.365384615384615,0,1,0,0,1,0,1,0,1,0
"474",1,0.1875,0.184722222222222,0,0.0277777777777778,1,0,0.365384615384615,0,1,0,0,0,1,0,1,0,0
"475",1,0.489583333333333,0.111666666666667,0,0.0277777777777778,1,1,0.365384615384615,0,1,0,1,0,0,1,0,0,0
"476",1,0.489583333333333,0.110277777777778,0,0.0277777777777778,1,0,0.365384615384615,0,0,1,0,1,0,0,0,0,0
"477",1,0.8125,0.0786111111111111,0,0.0277777777777778,1,0,0.365384615384615,0,0,1,0,0,0,0,0,0,0
"478",1,0.53125,0.00666666666666667,0,0.0277777777777778,1,0,0.230769230769231,0,1,0,0,0,0,0,0,0,0
"479",0,0.572916666666667,0.945833333333333,0,0.0277777777777778,1,0,0.673076923076923,0,1,0,0,1,0,0,1,0,0
"480",0,0.614583333333333,0.725277777777778,0,0.0277777777777778,1,0,0.673076923076923,0,1,0,1,0,0,0,0,0,0
"481",0,0.666666666666667,0.565,0,0.0277777777777778,0,0,0.615384615384615,0,1,0,0,0,0,0,0,1,0
"482",0,0.635416666666667,0.555277777777778,0,0.0277777777777778,1,1,0.615384615384615,0,1,0,0,1,0,0,1,0,0
"483",0,0.78125,0.515833333333333,0,0.0277777777777778,1,0,0.615384615384615,0,0,1,0,0,0,0,0,1,0
"484",0,0.489583333333333,0.503333333333333,0,0.0277777777777778,1,0,0.615384615384615,0,1,0,0,0,0,0,0,1,0
"485",0,0.604166666666667,0.353611111111111,0,0.0277777777777778,1,0,0.480769230769231,0,1,0,1,0,0,0,0,0,0
"486",0,0.489583333333333,0.330277777777778,0,0.0277777777777778,1,0,0.480769230769231,0,1,0,1,0,0,1,0,1,0
"487",0,0.4375,0.316111111111111,0,0.0277777777777778,1,0,0.480769230769231,0,1,0,0,0,1,1,0,0,0
"488",0,0.708333333333333,0.258055555555556,0,0.0277777777777778,1,1,0.346153846153846,0,1,0,1,0,0,1,1,0,0
"489",0,0.708333333333333,0.256111111111111,0,0.0277777777777778,1,0,0.346153846153846,0,1,0,0,1,0,1,0,1,0
"490",0,0.28125,0.251944444444444,0,0.0277777777777778,1,0,0.346153846153846,0,1,0,0,0,0,1,0,1,0
"491",0,0.270833333333333,0.25,0,0.0277777777777778,1,0,0.346153846153846,0,1,0,0,1,0,0,1,0,0
"492",0,0.322916666666667,0.0333333333333333,0,0.0277777777777778,1,0,0.211538461538462,0,1,0,0,0,0,0,0,1,0
"493",0,0.541666666666667,0.967222222222222,0,0.0277777777777778,1,0,0.673076923076923,0,1,0,0,0,0,1,0,1,0
"494",0,0.322916666666667,0.911388888888889,0,0.0277777777777778,1,0,0.673076923076923,0,1,0,1,0,0,0,0,0,0
"495",0,0.927083333333333,0.819444444444444,0,0.0277777777777778,1,0,0.673076923076923,0,1,0,0,1,0,0,0,0,0
"496",0,0.25,0.534722222222222,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,1,0,0,1,1,0,0
"497",0,0.302083333333333,0.533333333333333,0,0.0277777777777778,1,0,0.538461538461538,0,1,0,0,1,0,0,0,1,0
"498",0,0.625,0.508888888888889,0,0.0277777777777778,1,0,0.596153846153846,0,1,0,1,0,0,1,0,1,0
"499",0,0.625,0.5075,0,0.0277777777777778,1,0,0.596153846153846,0,1,0,0,1,0,1,0,0,0
"500",0,0.625,0.400833333333333,0,0.0277777777777778,1,0,0.192307692307692,0,0,0,0,1,0,1,0,1,0
"501",0,0.583333333333333,0.347777777777778,0,0.0277777777777778,1,1,0.0576923076923077,0,1,0,1,0,0,0,0,0,0
"502",0,0.3125,0.331666666666667,0,0.0277777777777778,1,1,0.0576923076923077,0,0,0,0,0,0,1,0,1,0
"503",0,0.0833333333333333,0.300833333333333,0,0.0277777777777778,1,0,0.0576923076923077,0,1,0,0,1,0,1,0,1,0
"504",0,0.708333333333333,0.124444444444444,0,0.0277777777777778,1,1,0.192307692307692,0,1,0,1,0,0,1,0,1,0
