"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1","td_team_2"
"64",0,0.275510204081633,0.799608172404142,0,0.0842105263157895,0,0,0,0,0.596153846153846,0,0,0,0,0,0,1,0,0,0,0
"65",0,0.408163265306122,0.612930310663308,0,0.0526315789473684,0,0,0,0,0.538461538461538,0,0,0,0,0,1,1,0,0,0,0
"66",0,0.714285714285714,0.160369437447523,0,0.105263157894737,0,0,0,0,0.557692307692308,0,0,0,0,0,0,0,0,1,0,0
"67",1,0,0.912958298348727,1,0.105263157894737,0,0,0,0,0.326923076923077,0,0,1,0,1,0,0,0,0,0,0
"68",1,0.255102040816327,0.791491743632802,0,0.0842105263157895,0,0,0,0,0.326923076923077,0,0,0,0,1,0,0,0,0,0,0
"69",1,0.0714285714285714,0.546039742513294,1,0.115789473684211,0,0,0,0,0.269230769230769,0,0,0,0,1,0,0,0,0,0,0
"70",1,0.63265306122449,0.364679541001959,0,0.0736842105263158,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0
"71",1,0.448979591836735,0.254967814161769,0,0.0736842105263158,0,0,0,0,0.25,0,1,0,0,1,0,0,0,0,0,0
"72",1,0.979591836734694,0.155051777218024,0,0.168421052631579,1,0,1,1,0.25,0,0,1,0,0,1,1,0,0,1,0
"73",1,0.591836734693878,0.815001399384271,0,0.136842105263158,1,0,0,0,0.384615384615385,0,0,0,0,1,0,0,0,0,0,0
"74",1,0.0816326530612245,0.657430730478589,1,0.136842105263158,1,0,0,0,0.461538461538462,0,1,0,0,0,1,1,0,0,0,0
"75",1,0.602040816326531,0.392667226420375,0,0.126315789473684,1,0,0,0,0.519230769230769,0,0,0,0,0,0,1,0,0,0,0
"76",1,0.459183673469388,0.112230618527848,0,0.136842105263158,1,0,0,0,0.673076923076923,0,1,0,0,1,0,0,0,0,0,0
"77",1,0.0714285714285714,0.0677301987125665,0,0.126315789473684,0,0,0,0,0.673076923076923,0,1,0,0,1,0,0,0,0,0,0
"78",0,0.918367346938776,0.295549958018472,0,0.126315789473684,0,0,0,0,0.384615384615385,0,1,0,0,0,1,0,0,1,0,0
"79",0,0.785714285714286,0.263923873495662,0,0.136842105263158,0,0,0,0,0.384615384615385,0,1,0,0,0,1,0,0,1,0,0
"80",0,0.0204081632653061,0.197593059054016,0,0.126315789473684,1,0,0,0,0.384615384615385,0,0,1,0,0,0,0,1,0,0,0
"81",0,0.755102040816326,0.0934788692975091,0,0.126315789473684,0,0,0,0,0.461538461538462,0,0,0,0,1,0,0,0,0,0,0
"82",0,0.653061224489796,0.0716484746711447,0,0.126315789473684,1,0,0,0,0.461538461538462,0,0,0,0,1,0,0,0,0,0,0
