"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","score_differential","first_down_pass","incomplete_pass","interception","down_2","down_3","pass_length_short","pass_location_middle","pass_location_right","td_team_1","td_team_2"
"1",1,0.0824742268041237,0.901334074485825,0,0.0666666666666667,1,0,0.471698113207547,0,1,0,0,1,1,0,0,0,0
"2",1,0.0824742268041237,0.660922734852696,1,0.0666666666666667,1,0,0.471698113207547,0,1,0,0,0,1,0,0,0,0
"3",1,0.0618556701030928,0.646470261256254,1,0.0666666666666667,1,0,0.471698113207547,0,0,0,0,1,1,0,0,0,0
"4",1,0.278350515463918,0.512229016120067,0,0.0666666666666667,1,0,0.471698113207547,0,1,0,1,0,0,0,1,0,0
"5",1,0.278350515463918,0.508893829905503,0,0.0666666666666667,1,0,0.471698113207547,0,1,0,0,1,0,1,0,0,0
"6",1,0.257731958762887,0.320455808782657,0,0.0666666666666667,1,0,0.528301886792453,0,1,0,0,0,1,0,0,0,0
"7",1,0,0.301000555864369,1,0.0555555555555556,1,0,0.528301886792453,0,0,0,0,0,1,1,0,0,0
"8",1,0.164948453608247,0.20094496942746,0,0.0666666666666667,1,0,0.660377358490566,0,1,0,1,0,1,0,1,0,0
"9",1,0.515463917525773,0.0933852140077821,0,0.0666666666666667,1,0,0.679245283018868,0,1,0,0,1,1,0,0,0,0
"10",1,0.164948453608247,0.0608671484157865,0,0.0666666666666667,1,0,0.679245283018868,0,1,0,0,1,1,0,0,0,0
"11",0,0.783505154639175,0.941634241245136,0,0.0666666666666667,0,0,0.339622641509434,0,1,0,1,0,1,0,1,0,0
"12",0,0.618556701030928,0.8532518065592,0,0.0666666666666667,0,0,0.339622641509434,0,1,0,0,0,0,0,0,0,0
"13",0,0.257731958762887,0.797387437465259,0,0.0666666666666667,1,0,0.339622641509434,0,1,0,0,0,0,0,1,0,0
"14",0,0.206185567010309,0.783768760422457,0,0.0666666666666667,1,0,0.339622641509434,0,1,0,0,1,0,0,1,0,0
"15",0,0.701030927835051,0.696220122290161,0,0.0666666666666667,1,0,0.39622641509434,0,1,0,0,1,0,0,0,0,0
"16",0,0.680412371134021,0.657309616453585,0,0.0666666666666667,0,0,0.39622641509434,0,1,0,1,0,0,0,1,0,0
"17",0,0.618556701030928,0.536964980544747,0,0.0555555555555556,1,0,0.339622641509434,0,0,0,1,0,1,0,0,0,0
"18",0,0.463917525773196,0.513896609227348,0,0.0666666666666667,1,0,0.339622641509434,0,1,0,1,0,0,0,0,0,0
"19",0,0.0309278350515464,0.502223457476376,1,0.0666666666666667,1,0,0.339622641509434,0,1,0,0,0,1,0,1,0,0
"20",0,0.77319587628866,0.378543635352974,0,0.0666666666666667,1,0,0.39622641509434,0,1,0,0,0,0,0,1,0,0
"21",0,0.742268041237113,0.364924958310172,0,0.0666666666666667,1,0,0.39622641509434,0,1,0,0,1,1,0,0,0,0
"22",0,0.793814432989691,0.238743746525848,0,0.0666666666666667,1,0,0.39622641509434,0,1,0,1,0,1,0,1,0,0
"23",0,0.103092783505155,0.215953307392996,0,0.0666666666666667,0,0,0.39622641509434,0,1,0,0,0,1,0,1,0,0
"24",0,0.649484536082474,0.0675375208449138,0,0.0666666666666667,1,0,0.471698113207547,0,1,0,1,0,0,0,1,0,0
"25",1,0.65979381443299,0.943579766536965,0,0.0666666666666667,1,0,0.207547169811321,0,1,0,0,0,1,0,0,0,0
"26",1,0.721649484536082,0.92384658143413,0,0.0666666666666667,1,0,0.207547169811321,0,1,0,0,1,0,0,0,0,0
"27",1,0.463917525773196,0.823790994997221,0,0.0666666666666667,0,0,0.0754716981132075,0,0,0,1,0,1,0,1,0,0
"28",1,0.463917525773196,0.810728182323513,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,0,1,0,0,1,0,0
"29",1,0.350515463917526,0.76236798221234,0,0.0666666666666667,0,0,0.0754716981132075,0,1,0,0,0,1,0,0,0,0
"30",1,0.639175257731959,0.681211784324625,0,0.0666666666666667,0,0,0.0754716981132075,0,1,0,1,0,1,0,0,0,0
"31",1,0.639175257731959,0.680100055586437,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,0,1,1,0,1,0,0
"32",1,0.804123711340206,0.632573652028905,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,0,0,1,0,1,0,0
"33",1,0.443298969072165,0.520289049471929,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,0,0,1,0,1,0,0
"34",1,0.54639175257732,0.517231795441912,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,1,0,0,0,1,0,0
"35",1,0.54639175257732,0.515842134519177,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,0,1,0,0,1,0,0
"36",1,0.628865979381443,0.469983324068927,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,1,0,1,0,0,0,0
"37",1,0.103092783505155,0.444135630906059,0,0.0666666666666667,0,0,0.0754716981132075,0,1,0,1,0,1,1,0,0,0
"38",1,0.103092783505155,0.443023902167871,0,0.0666666666666667,1,0,0.0754716981132075,0,1,0,0,1,1,1,0,0,0
"39",1,0.536082474226804,0.315175097276265,0,0.0666666666666667,1,0,0.0188679245283019,0,1,0,1,0,0,0,0,0,0
"40",1,0.628865979381443,0.0269594219010561,0,0.0666666666666667,1,0,0.0943396226415094,0,1,0,0,0,1,0,0,0,0
"41",1,0.525773195876289,0.0136186770428016,0,0.0666666666666667,0,1,0.0943396226415094,0,1,0,0,0,1,0,1,0,0
