"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","pass_length","pass_location","td_team","score_differential","first_down_pass","incomplete_pass","interception","safety","Quality"
"1760","0",64,3193,1,0,3,1,0,1,"short","right","0",-14,0,0,0,0,3
"1762","0",58,3123,3,0,0,1,0,1,"short","middle","0",-14,0,1,0,0,4
"1774","0",66,2754,2,0,0,1,0,1,"short","right","0",-14,0,1,0,0,4
"1775","0",66,2750,3,0,0,1,0,1,"short","left","0",-14,0,1,0,0,4
"1780","0",84,2655,1,0,16,0,0,1,"short","left","0",-14,1,0,0,0,1
"1782","0",62,2582,2,0,0,0,0,1,"short","right","0",-14,0,1,0,0,4
"1783","0",62,2579,3,0,0,1,0,1,"short","left","0",-14,0,1,0,0,4
"1784","0",62,2575,4,0,7,0,0,1,"short","right","0",-14,1,0,0,0,1
"1800","0",91,2017,3,0,2,1,0,1,"short","left","0",-11,1,0,0,0,3
"1802","0",96,1926,2,0,0,1,0,1,"short","left","0",-11,0,1,0,0,4
"1803","0",96,1922,3,0,0,1,0,1,"short","middle","0",-11,0,1,0,0,4
"1814","0",75,1800,1,0,17,0,0,1,"short","right","0",-14,1,0,0,0,1
"1816","0",54,1718,2,0,1,1,0,1,"short","left","0",-14,0,0,0,0,3
"1817","0",63,1648,3,0,6,1,0,1,"short","left","0",-14,0,0,0,0,2
"1827","0",96,1354,3,0,0,1,0,1,"short","left","0",-14,0,1,0,0,4
"1833","0",52,1197,2,0,12,1,0,1,"short","right","0",-14,0,0,0,0,1
"1835","0",15,1134,1,0,0,1,0,1,"short","right","0",-14,0,1,0,0,4
"1845","0",75,816,1,0,9,1,0,1,"short","right","0",-18,0,0,0,0,2
"1847","0",62,761,1,0,20,1,0,1,"short","right","0",-18,1,0,0,0,0
"1848","0",42,728,1,0,42,1,0,1,"deep","right","1",-18,1,0,0,0,4
"1856","0",67,503,1,0,0,1,0,1,"deep","left","0",-12,0,1,0,0,4
"1858","0",64,457,3,0,16,1,0,1,"short","left","0",-12,1,0,0,0,1
"1859","0",48,429,1,0,0,1,0,1,"deep","left","0",-12,0,1,0,0,4
"1860","0",48,424,2,0,0,1,0,1,"short","middle","0",-12,0,1,0,0,4
"1861","0",48,420,3,0,0,1,0,1,"short","right","0",-12,0,1,0,0,4
"1862","0",48,415,4,0,14,1,0,1,"short","left","0",-12,1,0,0,0,1
"1863","0",34,399,1,0,0,1,0,1,"short","right","0",-12,0,1,0,0,4
"1864","0",34,394,2,0,0,1,0,1,"short","left","0",-12,0,1,0,0,4
"1866","0",28,345,4,0,23,1,0,1,"deep","right","0",-12,1,0,0,0,0
"1867","0",5,318,1,1,0,1,0,1,"short","right","0",-12,0,1,0,0,4
"1868","0",5,315,2,1,0,1,0,1,"short","right","0",-12,0,1,0,0,4
"1870","0",7,273,4,1,0,1,0,1,"short","middle","0",-12,0,1,0,0,4
"1887","1",44,3236,1,0,13,1,0,1,"short","right","0",-3,1,0,0,0,1
"1888","1",31,3199,1,0,1,1,0,1,"short","left","0",-3,0,0,0,0,3
"1889","1",30,3163,2,0,24,0,0,1,"short","right","0",-3,1,0,0,0,0
"1891","1",2,3090,2,1,0,0,0,1,"short","right","0",-3,0,1,0,0,4
"1892","1",2,3086,3,1,0,1,0,1,"short","left","0",-3,0,1,0,0,4
"1905","1",75,2741,1,0,7,1,0,1,"short","right","0",-7,0,0,0,0,2
"1906","1",68,2700,2,0,0,1,0,1,"short","left","0",-7,0,1,0,0,4
"1907","1",68,2698,3,0,11,1,0,1,"short","middle","0",-7,1,0,0,0,1
"1909","1",57,2621,2,0,19,1,0,1,"deep","middle","0",-7,1,0,0,0,1
"1910","1",38,2581,1,0,0,1,0,1,"short","right","0",-7,0,1,0,0,4
"1912","1",35,2530,3,0,0,1,0,1,"short","right","0",-7,0,1,0,0,4
"1917","1",90,2381,1,0,11,1,0,1,"short","right","0",-4,1,0,0,0,1
"1920","1",61,2260,1,0,4,1,0,1,"short","middle","0",-4,0,0,0,0,2
"1922","1",59,2177,3,0,45,1,0,1,"deep","left","0",-4,1,0,0,0,0
"1923","1",14,2149,1,0,14,0,0,1,"short","right","1",-4,1,0,0,0,4
"1930","1",75,1931,1,0,4,1,0,1,"short","right","0",-4,0,0,0,0,2
"1931","1",71,1920,2,0,6,1,0,1,"short","left","0",-4,1,0,0,0,2
"1932","1",65,1895,1,0,0,1,1,1,"short","left","0",-4,0,0,1,0,4
"1936","1",73,1833,1,0,7,1,0,1,"short","right","0",-7,0,0,0,0,2
"1937","1",66,1827,2,0,0,1,0,1,"short","right","0",-7,0,1,0,0,4
"1938","1",66,1823,3,0,17,1,0,1,"deep","right","0",-7,1,0,0,0,1
"1939","1",49,1819,1,0,8,1,0,1,"short","left","0",-7,0,0,0,0,2
"1940","1",41,1812,2,0,0,1,0,1,"short","right","0",-7,0,1,0,0,4
"1942","1",80,1795,1,0,8,0,0,1,"short","right","0",-4,0,0,0,0,2
"1944","1",70,1717,1,0,8,0,0,1,"short","left","0",-4,0,0,0,0,2
"1946","1",55,1633,1,0,11,1,0,1,"short","middle","0",-4,1,0,0,0,1
"1948","1",44,1550,2,0,11,1,0,1,"short","right","0",-4,1,0,0,0,1
"1949","1",33,1509,1,0,0,1,0,1,"deep","left","0",-4,0,1,0,0,4
"1951","1",9,1456,1,1,6,1,0,1,"short","right","0",-4,0,0,0,0,2
"1952","1",3,1413,2,1,3,0,0,1,"short","left","1",-4,1,0,0,0,4
"1959","1",82,1265,1,0,0,1,0,1,"short","left","0",4,0,0,0,0,4
"1960","1",82,1229,2,0,7,1,0,1,"short","right","0",4,0,0,0,0,2
"1961","1",75,1188,3,0,15,1,0,1,"short","right","0",4,1,0,0,0,1
"1963","1",71,1079,2,0,5,1,0,1,"short","left","0",4,0,0,0,0,2
"1964","1",66,1037,3,0,0,1,0,1,"short","left","0",4,0,1,0,0,4
"1972","1",74,785,1,0,12,1,0,1,"short","right","0",4,1,0,0,0,1
"1974","1",60,694,2,0,0,1,0,1,"short","right","0",4,0,1,0,0,4
"1986","1",20,326,1,0,0,0,0,1,"short","right","0",11,0,1,0,0,4
"1988","1",18,289,3,0,18,1,0,1,"deep","right","1",11,1,0,0,0,4
