"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass","safety","Quality"
"1928","1",8,1978,1,1,0,0,0,0,0,"middle","center","0",-3,0,0,0,4
"1929","1",8,1936,2,1,8,0,0,0,0,"left","end","2",-3,1,0,0,1
"1933","1",37,1886,1,0,7,1,0,0,0,"middle","center","0",4,0,0,0,1
"1954","1",75,1407,1,0,8,0,0,0,0,"right","end","0",-4,0,0,0,1
"1955","1",67,1368,2,0,4,1,0,0,0,"middle","center","0",-4,1,0,0,1
"1956","1",63,1330,1,0,-4,0,0,0,0,"middle","center","0",-4,0,0,0,4
"1966","1",54,985,1,0,9,1,0,0,0,"left","end","0",-4,0,0,0,1
"1967","1",45,938,2,0,-4,0,0,0,0,"middle","center","0",-4,0,0,0,4
"1978","1",97,581,3,0,5,1,0,1,1,"right","end","1",-4,0,0,0,4
"1980","1",66,530,2,0,1,1,1,0,0,"left","end","0",-11,1,0,0,2
