"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1"
"142",0,0.102040816326531,0.825744800449691,0,0.113636363636364,1,0,0,0,0.528301886792453,0,0,0,0,0,0,0,1,0,0
"143",0,0.540816326530612,0.670601461495222,0,0.125,1,0,0,0,0.452830188679245,0,1,0,0,1,0,0,0,0,0
"144",0,0.173469387755102,0.38026981450253,0,0.113636363636364,0,0,0,0,0.452830188679245,0,1,0,0,1,0,0,0,0,0
"145",0,0.142857142857143,0.358066329398538,0,0.102272727272727,0,0,0,0,0.452830188679245,1,0,0,1,0,1,0,1,0,0
"146",0,0.102040816326531,0.334176503653738,0,0.125,0,0,0,0,0.452830188679245,0,1,0,0,1,0,0,0,0,0
"147",0,0.214285714285714,0.269533445756043,0,0.125,0,0,0,0,0.584905660377358,0,0,0,0,0,1,0,1,0,0
"148",0,0.622448979591837,0.217818999437886,0,0.125,0,0,0,0,0.716981132075472,0,0,0,0,0,0,0,0,1,0
"149",0,0.63265306122449,0.11973018549747,0,0.125,0,0,0,0,0.716981132075472,0,1,0,0,0,0,0,1,0,0
"150",0,0.377551020408163,0.0815064643057898,0,0.113636363636364,0,0,0,0,0.716981132075472,0,0,0,0,0,1,0,1,0,0
"151",0,0.346938775510204,0.0694210230466554,0,0.113636363636364,0,0,0,0,0.716981132075472,0,1,0,0,0,0,0,1,0,0
"152",0,0.193877551020408,0.00224845418774592,1,0.113636363636364,1,0,0,0,0.641509433962264,0,0,0,0,0,0,0,0,1,0
"153",0,0.551020408163265,0.897414277684092,0,0.113636363636364,0,0,0,0,0.528301886792453,0,0,0,0,1,0,0,0,0,0
"154",0,0.489795918367347,0.761663856098932,0,0.113636363636364,0,0,0,0,0.528301886792453,0,0,0,0,0,0,0,1,0,0
"155",0,0.244897959183673,0.515739179314221,0,0.125,1,0,0,0,0.528301886792453,0,1,0,0,1,0,0,0,0,0
"156",0,0.551020408163265,0.345699831365936,0,0.102272727272727,0,0,0,0,0.584905660377358,1,1,0,0,0,0,0,1,0,0
"157",0,0.581632653061224,0.326025857223159,0,0.113636363636364,1,0,0,0,0.584905660377358,0,0,0,0,1,0,0,0,0,0
"158",0,0.448979591836735,0.176222596964587,0,0.125,0,0,0,0,0.584905660377358,0,0,0,0,1,0,0,0,0,0
"159",0,0.357142857142857,0.150927487352445,0,0.102272727272727,0,0,0,0,0.584905660377358,1,0,1,0,0,1,0,0,1,0
"160",1,0.918367346938776,0.96008993816751,0,0.125,0,0,0,0,0.660377358490566,0,0,0,0,1,0,0,0,0,0
"161",1,0.806122448979592,0.939010680157392,0,0.113636363636364,0,0,0,0,0.660377358490566,0,1,0,0,1,0,0,0,0,0
"162",1,0.836734693877551,0.708825182686903,0,0.125,0,0,0,0,0.60377358490566,0,1,0,0,0,0,1,0,0,0
"163",1,0.571428571428571,0.638279932546374,0,0.113636363636364,0,0,0,0,0.60377358490566,0,1,0,0,1,0,0,0,0,0
