"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","safety","Quality"
"1865","0",34,387,3,0,6,1,0,1,1,"left","end","0",-12,0,0,1
"1890","1",6,3125,1,1,4,1,0,0,0,"middle","center","0",-3,0,0,2
"1908","1",57,2657,1,0,0,0,0,0,0,"right","end","0",-7,0,0,4
"1911","1",38,2574,2,0,3,0,0,0,0,"middle","center","0",-7,0,0,2
"1918","1",79,2339,1,0,9,0,0,0,0,"left","end","0",-4,0,0,1
"1919","1",70,2297,2,0,9,0,0,0,0,"left","end","0",-4,1,0,1
"1941","1",41,1807,3,0,3,1,0,1,1,"left","end","0",-7,1,0,1
"1943","1",72,1755,2,0,2,0,0,0,0,"middle","center","0",-4,1,0,2
"1945","1",62,1675,2,0,7,0,0,0,0,"left","end","0",-4,1,0,1
"1947","1",44,1590,1,0,0,0,0,0,0,"middle","center","0",-4,0,0,4
"1950","1",33,1504,2,0,4,1,0,0,0,"middle","center","0",-4,0,0,2
"1962","1",60,1143,1,0,-1,0,0,0,0,"right","end","0",4,0,0,4
"1969","1",89,884,1,0,1,1,0,0,0,"middle","center","0",4,0,0,3
"1970","1",88,848,2,0,1,0,0,0,0,"middle","center","0",4,0,0,3
"1973","1",62,743,1,0,2,1,0,0,0,"middle","center","0",4,0,0,3
"1983","1",34,465,1,0,1,0,0,0,0,"left","end","0",11,0,0,3
"1984","1",33,420,2,0,6,0,0,0,0,"right","end","0",11,0,0,1
"1985","1",27,373,3,0,7,1,0,1,1,"middle","center","0",11,1,0,1
"1987","1",20,319,2,0,2,1,0,0,0,"left","end","0",11,0,0,3
"1993","1",20,249,1,0,7,0,0,0,0,"left","end","0",18,0,0,1
"1994","1",13,203,2,0,1,0,0,0,0,"right","end","0",18,0,0,3
"1995","1",12,158,3,0,2,0,0,0,0,"middle","center","0",18,1,0,2
