"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","pass_length","pass_location","td_team","score_differential","first_down_pass","incomplete_pass","interception","safety","Quality"
"1769","0",44,2906,2,0,16,0,0,"short","right","0",14,1,0,0,0,1
"1771","0",31,2843,2,0,0,1,0,"short","left","0",14,0,1,0,0,4
"1772","0",31,2839,3,0,12,1,0,"short","right","0",14,0,0,0,0,1
"1776","0",80,2731,1,0,0,0,0,"short","middle","0",14,0,1,0,0,4
"1777","0",80,2726,2,0,8,1,0,"short","middle","0",14,0,0,0,0,2
"1778","0",72,2700,3,0,5,0,0,"short","right","0",14,1,0,0,0,2
"1779","0",67,2664,1,0,0,0,0,"deep","right","0",14,0,0,1,0,4
"1790","0",75,2352,1,0,16,0,0,"short","left","0",11,1,0,0,0,1
"1793","0",53,2258,2,0,0,0,0,"short","left","0",11,0,1,0,0,4
"1794","0",53,2254,3,0,12,1,0,"short","middle","0",11,1,0,0,0,1
"1796","0",57,2152,2,0,17,1,0,"short","middle","0",11,0,0,0,0,1
"1797","0",40,2114,3,0,0,1,0,"short","right","0",11,0,1,0,0,4
"1804","0",59,1907,1,0,7,1,0,"short","left","0",11,0,0,0,0,2
"1806","0",43,1896,1,0,4,1,0,"short","left","0",11,0,0,0,0,2
"1807","0",39,1877,2,0,0,1,1,"short","right","0",11,0,1,0,0,4
"1808","0",39,1872,3,0,12,1,0,"short","right","0",11,1,0,0,0,1
"1809","0",27,1852,1,0,6,1,1,"short","right","0",11,0,0,0,0,2
"1810","0",21,1844,2,0,8,1,0,"short","middle","0",11,1,0,0,0,1
"1811","0",13,1838,1,0,0,1,0,"short","right","0",11,0,1,0,0,4
"1812","0",13,1834,2,0,3,1,0,"short","middle","0",11,0,0,0,0,3
"1813","0",10,1818,3,0,5,1,1,"short","right","0",11,0,0,0,0,2
"1820","0",72,1520,3,0,14,1,0,"short","left","0",14,1,0,0,0,1
"1821","0",58,1485,1,0,21,0,0,"deep","left","0",14,1,0,0,0,0
"1822","0",37,1464,1,0,0,0,1,"short","right","0",14,0,1,0,0,4
"1823","0",37,1460,2,0,0,1,0,"short","left","0",14,0,1,0,0,4
"1824","0",37,1455,3,0,0,1,0,"short","left","0",14,0,1,0,0,4
"1829","0",38,1307,1,0,0,0,0,"short","right","0",14,0,0,1,0,4
"1838","0",87,1044,1,0,32,0,0,"deep","left","0",11,1,0,0,0,0
"1840","0",52,972,2,0,8,1,0,"short","left","0",11,1,0,0,0,1
"1851","0",88,685,2,0,0,0,0,"short","left","0",12,0,0,0,0,4
"1852","0",88,648,3,0,17,1,0,"deep","left","0",12,1,0,0,0,1
"1854","0",72,558,2,0,0,1,0,"short","left","0",12,0,1,0,0,4
"1871","0",96,263,1,0,14,0,0,"short","left","0",12,1,0,0,0,1
"1872","0",82,219,1,0,31,0,0,"deep","left","0",12,1,0,0,0,0
"1874","0",51,200,2,0,10,0,0,"short","middle","0",12,1,0,0,0,1
"1877","1",85,3568,1,0,0,1,0,"short","right","0",0,0,1,0,0,4
"1878","1",85,3561,2,0,9,1,0,"short","left","0",0,0,0,0,0,2
"1879","1",76,3520,3,0,18,1,0,"short","left","0",0,1,0,0,0,1
"1880","1",58,3492,1,0,15,0,0,"short","right","0",0,1,0,0,0,1
"1883","1",21,3373,2,0,16,1,0,"short","middle","0",0,1,0,0,0,1
"1895","1",71,2975,3,0,33,1,0,"short","left","0",0,1,0,0,0,0
"1896","1",38,2937,1,0,0,0,0,"deep","right","0",0,0,1,0,0,4
"1900","1",29,2818,2,0,0,1,0,"short","right","0",0,0,1,0,0,4
"1901","1",29,2815,3,0,6,1,0,"short","right","0",0,0,0,0,0,2
"1902","1",11,2786,1,0,6,1,0,"short","right","0",0,0,0,0,0,2
"1903","1",5,2751,2,0,0,1,0,"short","right","0",0,0,1,0,0,4
"1913","1",75,2520,1,0,15,0,0,"short","middle","0",4,1,0,0,0,1
"1914","1",60,2480,1,0,0,1,0,"short","left","0",4,0,1,0,0,4
"1935","1",36,1851,3,0,4,1,0,"short","left","0",4,0,0,0,0,2
"1957","1",67,1288,2,0,0,1,0,"deep","right","0",-4,0,1,0,0,4
"1958","1",67,1282,3,0,0,1,0,"short","right","0",-4,0,1,0,0,4
"1965","1",75,1022,1,0,21,1,0,"short","left","0",-4,1,0,0,0,0
"1968","1",49,900,3,0,0,1,0,"short","left","0",-4,0,1,0,0,4
"1976","1",95,630,1,0,0,1,0,"short","left","0",-4,0,1,0,0,4
"1979","1",75,568,1,0,9,1,0,"short","middle","0",-11,0,0,0,0,2
"1981","1",65,500,1,0,10,1,1,"short","right","0",-11,1,0,0,0,1
"1989","1",80,275,1,0,0,1,0,"short","left","0",-18,0,1,0,0,4
"1990","1",80,269,2,0,0,1,0,"short","right","0",-18,0,1,0,0,4
"1991","1",80,264,3,0,0,1,0,"deep","right","0",-18,0,1,0,0,4
"1992","1",80,256,4,0,0,1,0,"deep","left","0",-18,0,1,0,0,4
