"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"52",0,65,283,1,0,1,1,0,0,0,"middle","center",0,7,0,0
"53",0,74,231,3,0,1,1,0,0,0,"right","tackle",0,7,0,0
"54",1,75,3482,1,0,2,0,0,0,0,"right","end",0,-7,0,0
"58",1,47,3002,1,0,1,0,0,0,0,"middle","center",0,-14,0,0
"59",1,26,2763,1,0,1,0,0,0,0,"left","end",0,-14,0,0
"66",1,59,2142,2,0,1,1,0,0,0,"middle","center",0,-14,0,0
"72",1,64,1299,1,0,2,0,1,0,0,"left","end",0,-17,0,0
"73",1,54,1169,1,0,1,1,0,0,0,"middle","center",0,-17,0,0
"78",1,61,401,1,0,1,1,0,1,1,"right","end",0,-13,0,0
"80",0,65,3558,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"81",0,40,3398,3,0,1,0,0,0,0,"left","end",0,0,0,0
"85",0,93,2508,2,0,2,0,0,0,0,"left","guard",0,11,0,0
"90",0,69,1920,2,0,2,1,0,0,0,"middle","center",0,14,0,0
"92",0,60,965,1,0,2,0,0,0,0,"right","end",0,-3,0,0
"93",0,44,652,1,0,2,0,0,0,0,"right","tackle",0,-3,0,0
"104",0,75,1858,1,0,1,1,0,0,0,"right","tackle",0,4,0,0
"109",0,94,1083,1,0,2,0,0,0,0,"right","guard",0,4,0,0
"117",0,75,352,1,0,2,1,0,0,0,"right","guard",0,1,0,0
"122",1,59,3538,1,0,1,0,0,0,0,"right","end",0,0,0,0
"125",1,59,3224,2,0,1,0,0,0,0,"middle","center",0,0,0,0
"132",1,35,1622,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"151",0,88,2571,2,0,2,0,0,0,0,"right","guard",0,0,0,0
"152",0,75,2190,1,0,1,0,0,0,0,"left","tackle",0,-3,0,0
"153",0,25,1907,1,0,2,1,0,0,0,"middle","center",0,-3,0,0
"155",0,75,1800,1,0,1,0,0,0,0,"right","guard",0,1,0,0
"172",1,63,2583,1,0,2,0,0,0,0,"middle","center",0,-6,0,0
"181",1,59,3500,1,0,2,1,0,0,0,"right","guard",0,0,0,0
"183",1,52,3334,1,0,1,1,0,0,0,"right","tackle",0,0,0,0
"192",1,40,2435,2,0,1,0,0,0,0,"left","end",0,3,0,0
"199",1,50,1436,1,0,1,1,0,1,1,"right","end",0,6,0,0
"200",1,18,1290,2,0,1,1,0,0,0,"left","guard",0,6,0,0
"202",1,23,1021,1,0,1,0,0,0,0,"left","guard",0,9,0,0
"205",1,69,618,1,0,2,1,0,0,0,"right","end",0,16,0,0
"209",1,3,269,1,1,2,1,0,0,0,"right","end",0,16,0,0
