"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"201",1,6,2001,3,1,-5,0,0,0,0,"left","end",0,6,0,0
"204",1,74,1499,2,0,0,0,0,0,0,"middle","center",0,12,0,0
"211",1,24,519,1,0,0,0,0,0,0,"right","end",0,7,0,0
"212",1,24,479,2,0,0,0,0,0,0,"middle","center",0,7,0,0
"214",1,1,370,1,1,0,0,0,0,0,"middle","center",0,7,0,0
"215",1,1,311,2,1,-7,0,0,0,0,"right","end",0,7,0,0
"216",1,68,193,1,0,-1,0,0,0,0,"middle","center",0,14,0,0
"217",1,69,189,2,0,-1,0,0,0,0,"middle","center",0,14,0,0
"221",1,59,2730,2,0,0,0,0,0,0,"middle","center",0,-3,0,0
"237",0,54,3257,2,0,0,0,0,0,0,"left","guard",0,0,0,0
"240",0,75,1426,1,0,-2,1,0,0,0,"right","end",0,-10,0,0
"241",0,60,1314,1,0,0,1,0,0,0,"left","end",0,-10,0,0
"248",0,94,3021,1,0,-3,0,0,0,0,"left","end",0,0,0,0
"273",1,35,2701,1,0,-1,0,0,0,0,"middle","center",0,-13,0,0
"279",1,75,2278,1,0,-1,0,0,0,0,"middle","center",0,-20,0,0
"283",1,24,639,1,0,-1,1,1,0,0,"middle","center",0,-12,0,0
"285",1,1,425,1,1,-1,0,0,0,0,"middle","center",0,-12,0,0
"287",1,75,3595,1,0,0,0,0,0,0,"middle","center",0,0,0,0
"300",1,69,2625,1,0,-5,0,0,0,0,"left","end",0,-4,0,0
"303",1,67,1884,3,0,-1,1,0,0,0,"middle","center",0,-18,0,0
"315",0,84,2616,1,0,-1,0,0,0,0,"right","guard",0,-7,0,0
"317",0,94,2215,2,0,-4,0,0,0,0,"left","end",0,-7,0,0
"319",0,68,1763,2,0,-1,0,0,0,0,"middle","center",0,-13,0,0
"327",0,68,632,1,0,-1,0,0,0,0,"left","tackle",0,-10,0,0
"341",0,21,2393,3,0,-1,1,0,0,0,"left","tackle",0,-14,0,0
"356",1,57,2657,1,0,0,0,0,0,0,"right","end",0,-7,0,0
"363",1,44,1590,1,0,0,0,0,0,0,"middle","center",0,-4,0,0
"365",1,60,1143,1,0,-1,0,0,0,0,"right","end",0,4,0,0
